X,                                          T,                                              var_rho,
2.150215022265911102e-02 9.875405430793762207e-01 9.510864615440368652e-01
2.160215936601161957e-02 9.874821305274963379e-01 9.508614540100097656e-01
2.170217037200927734e-02 9.874237179756164551e-01 9.506365060806274414e-01
2.180217951536178589e-02 9.873654246330261230e-01 9.504120349884033203e-01
2.190219052135944366e-02 9.873070120811462402e-01 9.501871466636657715e-01
2.200219966471195221e-02 9.872485995292663574e-01 9.499623179435729980e-01
2.210221067070960999e-02 9.871901869773864746e-01 9.497374892234802246e-01
2.220221981406211853e-02 9.871317744255065918e-01 9.495127201080322266e-01
2.230223082005977631e-02 9.870734214782714844e-01 9.492882490158081055e-01
2.240223996341228485e-02 9.870150685310363770e-01 9.490637779235839844e-01
2.250225096940994263e-02 9.869565367698669434e-01 9.488387107849121094e-01
2.260226011276245117e-02 9.868981838226318359e-01 9.486142992973327637e-01
2.270227111876010895e-02 9.868397712707519531e-01 9.483897686004638672e-01
2.280228026211261749e-02 9.867812991142272949e-01 9.481649994850158691e-01
2.290228940546512604e-02 9.867228865623474121e-01 9.479405283927917480e-01
2.300230041146278381e-02 9.866644144058227539e-01 9.477158188819885254e-01
2.310230955481529236e-02 9.866059422492980957e-01 9.474911689758300781e-01
2.320232056081295013e-02 9.865475296974182129e-01 9.472668170928955078e-01
2.330232970416545868e-02 9.864889979362487793e-01 9.470420479774475098e-01
2.340234071016311646e-02 9.864305853843688965e-01 9.468177556991577148e-01
2.350234985351562500e-02 9.863721132278442383e-01 9.465932846069335938e-01
2.360236085951328278e-02 9.863135814666748047e-01 9.463686347007751465e-01
2.370237000286579132e-02 9.862552285194396973e-01 9.461447000503540039e-01
2.380238100886344910e-02 9.861966371536254883e-01 9.459198713302612305e-01
2.390239015221595764e-02 9.861381649971008301e-01 9.456955194473266602e-01
2.400240115821361542e-02 9.860795140266418457e-01 9.454705715179443359e-01
2.410241030156612396e-02 9.860211014747619629e-01 9.452465772628784180e-01
2.420241944491863251e-02 9.859625697135925293e-01 9.450221657752990723e-01
2.430243045091629028e-02 9.859040379524230957e-01 9.447977542877197266e-01
2.440243959426879883e-02 9.858455061912536621e-01 9.445734024047851562e-01
2.450245060026645660e-02 9.857869148254394531e-01 9.443488717079162598e-01
2.460245974361896515e-02 9.857284426689147949e-01 9.441248178482055664e-01
2.470247074961662292e-02 9.856699109077453613e-01 9.439006447792053223e-01
2.480247989296913147e-02 9.856113791465759277e-01 9.436764121055603027e-01
2.490249089896678925e-02 9.855528473854064941e-01 9.434522986412048340e-01
2.500250004231929779e-02 9.854943156242370605e-01 9.432281851768493652e-01
2.510251104831695557e-02 9.854357242584228516e-01 9.430038928985595703e-01
2.520252019166946411e-02 9.853770136833190918e-01 9.427791833877563477e-01
2.530252933502197266e-02 9.853184819221496582e-01 9.425551891326904297e-01
2.540254034101963043e-02 9.852599501609802246e-01 9.423312544822692871e-01
2.550254948437213898e-02 9.852013587951660156e-01 9.421071410179138184e-01
2.560256049036979675e-02 9.851427078247070312e-01 9.418827891349792480e-01
2.570256963372230530e-02 9.850841164588928223e-01 9.416587352752685547e-01
2.580258063971996307e-02 9.850255846977233887e-01 9.414349794387817383e-01
2.590258978307247162e-02 9.849669337272644043e-01 9.412107467651367188e-01
2.600260078907012939e-02 9.849082827568054199e-01 9.409865736961364746e-01
2.610260993242263794e-02 9.848496317863464355e-01 9.407624602317810059e-01
2.620262093842029572e-02 9.847909808158874512e-01 9.405384063720703125e-01
2.630263008177280426e-02 9.847323298454284668e-01 9.403143525123596191e-01
2.640264108777046204e-02 9.846737980842590332e-01 9.400907754898071289e-01
2.650265023112297058e-02 9.846150875091552734e-01 9.398666024208068848e-01
2.660265937447547913e-02 9.845563769340515137e-01 9.396424889564514160e-01
2.670267038047313690e-02 9.844977259635925293e-01 9.394185543060302734e-01
2.680267952382564545e-02 9.844390749931335449e-01 9.391947388648986816e-01
2.690269052982330322e-02 9.843803644180297852e-01 9.389706850051879883e-01
2.700269967317581177e-02 9.843217134475708008e-01 9.387469291687011719e-01
2.710271067917346954e-02 9.842630028724670410e-01 9.385229945182800293e-01
2.720271982252597809e-02 9.842043519020080566e-01 9.382992982864379883e-01
2.730273082852363586e-02 9.841455817222595215e-01 9.380752444267272949e-01
2.740273997187614441e-02 9.840869307518005371e-01 9.378516077995300293e-01
2.750275097787380219e-02 9.840281605720520020e-01 9.376276135444641113e-01
2.760276012122631073e-02 9.839693903923034668e-01 9.374036192893981934e-01
2.770277112722396851e-02 9.839107394218444824e-01 9.371801614761352539e-01
2.780278027057647705e-02 9.838519692420959473e-01 9.369562268257141113e-01
2.790278941392898560e-02 9.837933182716369629e-01 9.367328286170959473e-01
2.800280041992664337e-02 9.837345480918884277e-01 9.365090131759643555e-01
2.810280956327915192e-02 9.836757779121398926e-01 9.362852573394775391e-01
2.820282056927680969e-02 9.836170077323913574e-01 9.360615015029907227e-01
2.830282971262931824e-02 9.835582375526428223e-01 9.358378052711486816e-01
2.840284071862697601e-02 9.834994673728942871e-01 9.356141686439514160e-01
2.850284986197948456e-02 9.834408164024353027e-01 9.353910088539123535e-01
2.860286086797714233e-02 9.833819866180419922e-01 9.351671934127807617e-01
2.870287001132965088e-02 9.833231568336486816e-01 9.349434375762939453e-01
2.880288101732730865e-02 9.832643866539001465e-01 9.347199797630310059e-01
2.890289016067981720e-02 9.832056164741516113e-01 9.344965219497680664e-01
2.900290116667747498e-02 9.831467270851135254e-01 9.342726469039916992e-01
2.910291031002998352e-02 9.830880165100097656e-01 9.340494871139526367e-01
2.920291945338249207e-02 9.830290675163269043e-01 9.338254928588867188e-01
2.930293045938014984e-02 9.829703569412231445e-01 9.336023926734924316e-01
2.940293960273265839e-02 9.829116463661193848e-01 9.333793520927429199e-01
2.950295060873031616e-02 9.828526973724365234e-01 9.331554770469665527e-01
2.960295975208282471e-02 9.827938675880432129e-01 9.329320788383483887e-01
2.970297075808048248e-02 9.827349781990051270e-01 9.327085018157958984e-01
2.980297990143299103e-02 9.826762080192565918e-01 9.324854016304016113e-01
2.990299090743064880e-02 9.826173782348632812e-01 9.322621226310729980e-01
3.000300005078315735e-02 9.825584292411804199e-01 9.320384263992309570e-01
3.010301105678081512e-02 9.824996590614318848e-01 9.318154454231262207e-01
3.020302020013332367e-02 9.824406504631042480e-01 9.315916299819946289e-01
3.030303120613098145e-02 9.823818802833557129e-01 9.313687086105346680e-01
3.040304034948348999e-02 9.823229312896728516e-01 9.311451911926269531e-01
3.050304949283599854e-02 9.822641015052795410e-01 9.309221506118774414e-01
3.060306049883365631e-02 9.822052121162414551e-01 9.306989312171936035e-01
3.070306964218616486e-02 9.821463227272033691e-01 9.304757714271545410e-01
3.080308064818382263e-02 9.820873737335205078e-01 9.302523732185363770e-01
3.090308979153633118e-02 9.820284843444824219e-01 9.300292730331420898e-01
3.100310079753398895e-02 9.819695353507995605e-01 9.298059940338134766e-01
3.110310994088649750e-02 9.819106459617614746e-01 9.295829534530639648e-01
3.120312094688415527e-02 9.818516969680786133e-01 9.293597340583801270e-01
3.130313009023666382e-02 9.817927479743957520e-01 9.291365742683410645e-01
3.140313923358917236e-02 9.817337989807128906e-01 9.289134740829467773e-01
3.150315210223197937e-02 9.816747903823852539e-01 9.286901354789733887e-01
3.160316124558448792e-02 9.816159605979919434e-01 9.284675121307373047e-01
3.170317038893699646e-02 9.815569519996643066e-01 9.282442927360534668e-01
3.180317953228950500e-02 9.814978837966918945e-01 9.280208945274353027e-01
3.190318867564201355e-02 9.814389944076538086e-01 9.277981519699096680e-01
3.200320154428482056e-02 9.813801050186157227e-01 9.275755286216735840e-01
3.210321068763732910e-02 9.813210964202880859e-01 9.273524284362792969e-01
3.220321983098983765e-02 9.812620878219604492e-01 9.271293878555297852e-01
3.230322897434234619e-02 9.812029600143432617e-01 9.269059896469116211e-01
3.240324184298515320e-02 9.811441302299499512e-01 9.266836643218994141e-01
3.250325098633766174e-02 9.810851216316223145e-01 9.264608025550842285e-01
3.260326012969017029e-02 9.810259938240051270e-01 9.262374639511108398e-01
3.270326927304267883e-02 9.809670448303222656e-01 9.260148406028747559e-01
3.280328214168548584e-02 9.809079766273498535e-01 9.257918596267700195e-01
