 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.15575E+00  0.25832E+00  0.25359E+00
  0.15625E+00  0.25818E+00  0.25344E+00
  0.15675E+00  0.25804E+00  0.25330E+00
  0.15725E+00  0.25790E+00  0.25316E+00
  0.15775E+00  0.25777E+00  0.25302E+00
  0.15825E+00  0.25763E+00  0.25287E+00
  0.15875E+00  0.25749E+00  0.25273E+00
  0.15925E+00  0.25734E+00  0.25258E+00
  0.15975E+00  0.25720E+00  0.25243E+00
  0.16025E+00  0.25706E+00  0.25228E+00
  0.16075E+00  0.25692E+00  0.25214E+00
  0.16125E+00  0.25677E+00  0.25199E+00
  0.16175E+00  0.25663E+00  0.25184E+00
  0.16225E+00  0.25648E+00  0.25169E+00
  0.16275E+00  0.25634E+00  0.25153E+00
  0.16325E+00  0.25619E+00  0.25138E+00
  0.16375E+00  0.25604E+00  0.25123E+00
  0.16425E+00  0.25589E+00  0.25107E+00
  0.16475E+00  0.25574E+00  0.25092E+00
  0.16525E+00  0.25559E+00  0.25076E+00
  0.16575E+00  0.25544E+00  0.25061E+00
  0.16625E+00  0.25529E+00  0.25045E+00
  0.16675E+00  0.25514E+00  0.25029E+00
  0.16725E+00  0.25499E+00  0.25013E+00
  0.16775E+00  0.25483E+00  0.24997E+00
  0.16825E+00  0.25468E+00  0.24981E+00
  0.16875E+00  0.25452E+00  0.24965E+00
  0.16925E+00  0.25436E+00  0.24949E+00
  0.16975E+00  0.25421E+00  0.24933E+00
  0.17025E+00  0.25405E+00  0.24916E+00
  0.17075E+00  0.25389E+00  0.24900E+00
  0.17125E+00  0.25373E+00  0.24883E+00
  0.17175E+00  0.25357E+00  0.24866E+00
  0.17225E+00  0.25341E+00  0.24850E+00
  0.17275E+00  0.25325E+00  0.24833E+00
  0.17325E+00  0.25308E+00  0.24816E+00
  0.17375E+00  0.25292E+00  0.24799E+00
  0.17425E+00  0.25275E+00  0.24782E+00
  0.17475E+00  0.25259E+00  0.24765E+00
  0.17525E+00  0.25242E+00  0.24747E+00
  0.17575E+00  0.25225E+00  0.24730E+00
  0.17625E+00  0.25209E+00  0.24712E+00
  0.17675E+00  0.25192E+00  0.24695E+00
  0.17725E+00  0.25175E+00  0.24677E+00
  0.17775E+00  0.25157E+00  0.24659E+00
  0.17825E+00  0.25140E+00  0.24641E+00
  0.17875E+00  0.25123E+00  0.24623E+00
  0.17925E+00  0.25106E+00  0.24605E+00
  0.17975E+00  0.25088E+00  0.24587E+00
  0.18025E+00  0.25070E+00  0.24569E+00
  0.18075E+00  0.25053E+00  0.24550E+00
  0.18125E+00  0.25035E+00  0.24532E+00
  0.18175E+00  0.25017E+00  0.24513E+00
  0.18225E+00  0.24999E+00  0.24495E+00
  0.18275E+00  0.24981E+00  0.24476E+00
  0.18325E+00  0.24963E+00  0.24457E+00
  0.18375E+00  0.24944E+00  0.24438E+00
  0.18425E+00  0.24926E+00  0.24419E+00
  0.18475E+00  0.24908E+00  0.24400E+00
  0.18525E+00  0.24889E+00  0.24380E+00
  0.18575E+00  0.24870E+00  0.24361E+00
  0.18625E+00  0.24851E+00  0.24341E+00
  0.18675E+00  0.24833E+00  0.24321E+00
  0.18725E+00  0.24814E+00  0.24302E+00
  0.18775E+00  0.24794E+00  0.24282E+00
  0.18825E+00  0.24775E+00  0.24262E+00
  0.18875E+00  0.24756E+00  0.24242E+00
  0.18925E+00  0.24736E+00  0.24221E+00
  0.18975E+00  0.24717E+00  0.24201E+00
  0.19025E+00  0.24697E+00  0.24180E+00
  0.19075E+00  0.24677E+00  0.24160E+00
  0.19125E+00  0.24657E+00  0.24139E+00
  0.19175E+00  0.24637E+00  0.24118E+00
  0.19225E+00  0.24617E+00  0.24097E+00
  0.19275E+00  0.24597E+00  0.24076E+00
  0.19325E+00  0.24576E+00  0.24055E+00
  0.19375E+00  0.24556E+00  0.24033E+00
  0.19425E+00  0.24535E+00  0.24012E+00
  0.19475E+00  0.24514E+00  0.23990E+00
  0.19525E+00  0.24494E+00  0.23969E+00
  0.19575E+00  0.24473E+00  0.23947E+00
  0.19625E+00  0.24451E+00  0.23925E+00
  0.19675E+00  0.24430E+00  0.23902E+00
  0.19725E+00  0.24409E+00  0.23880E+00
  0.19775E+00  0.24387E+00  0.23858E+00
  0.19825E+00  0.24366E+00  0.23835E+00
  0.19875E+00  0.24344E+00  0.23812E+00
  0.19925E+00  0.24322E+00  0.23789E+00
  0.19975E+00  0.24300E+00  0.23766E+00
  0.20025E+00  0.24278E+00  0.23743E+00
  0.20075E+00  0.24255E+00  0.23720E+00
  0.20125E+00  0.24233E+00  0.23696E+00
  0.20175E+00  0.24210E+00  0.23673E+00
  0.20225E+00  0.24187E+00  0.23649E+00
  0.20275E+00  0.24164E+00  0.23625E+00
  0.20325E+00  0.24141E+00  0.23601E+00
  0.20375E+00  0.24118E+00  0.23577E+00
  0.20425E+00  0.24095E+00  0.23552E+00
  0.20475E+00  0.24071E+00  0.23528E+00
  0.20525E+00  0.24048E+00  0.23503E+00
  0.20575E+00  0.24024E+00  0.23478E+00
  0.20625E+00  0.24000E+00  0.23453E+00
  0.20675E+00  0.23976E+00  0.23428E+00
  0.20725E+00  0.23951E+00  0.23403E+00
  0.20775E+00  0.23927E+00  0.23377E+00
  0.20825E+00  0.23902E+00  0.23351E+00
  0.20875E+00  0.23877E+00  0.23325E+00
  0.20925E+00  0.23852E+00  0.23299E+00
  0.20975E+00  0.23827E+00  0.23273E+00
  0.21025E+00  0.23802E+00  0.23246E+00
  0.21075E+00  0.23776E+00  0.23220E+00
  0.21125E+00  0.23751E+00  0.23193E+00
  0.21175E+00  0.23725E+00  0.23166E+00
  0.21225E+00  0.23699E+00  0.23139E+00
  0.21275E+00  0.23673E+00  0.23111E+00
  0.21325E+00  0.23646E+00  0.23084E+00
  0.21375E+00  0.23620E+00  0.23056E+00
  0.21425E+00  0.23593E+00  0.23028E+00
  0.21475E+00  0.23566E+00  0.23000E+00
  0.21525E+00  0.23539E+00  0.22971E+00
  0.21575E+00  0.23511E+00  0.22943E+00
  0.21625E+00  0.23484E+00  0.22914E+00
  0.21675E+00  0.23456E+00  0.22885E+00
  0.21725E+00  0.23428E+00  0.22855E+00
  0.21775E+00  0.23400E+00  0.22826E+00
  0.21825E+00  0.23372E+00  0.22796E+00
  0.21875E+00  0.23343E+00  0.22766E+00
  0.21925E+00  0.23314E+00  0.22736E+00
  0.21975E+00  0.23285E+00  0.22705E+00
  0.22025E+00  0.23256E+00  0.22675E+00
  0.22075E+00  0.23226E+00  0.22644E+00
  0.22125E+00  0.23197E+00  0.22613E+00
  0.22175E+00  0.23167E+00  0.22581E+00
  0.22225E+00  0.23137E+00  0.22549E+00
  0.22275E+00  0.23106E+00  0.22517E+00
  0.22325E+00  0.23076E+00  0.22485E+00
  0.22375E+00  0.23045E+00  0.22453E+00
  0.22425E+00  0.23013E+00  0.22420E+00
  0.22475E+00  0.22982E+00  0.22387E+00
  0.22525E+00  0.22950E+00  0.22354E+00
  0.22575E+00  0.22918E+00  0.22320E+00
  0.22625E+00  0.22886E+00  0.22286E+00
  0.22675E+00  0.22854E+00  0.22252E+00
  0.22725E+00  0.22821E+00  0.22218E+00
  0.22775E+00  0.22788E+00  0.22183E+00
  0.22825E+00  0.22755E+00  0.22148E+00
  0.22875E+00  0.22721E+00  0.22113E+00
  0.22925E+00  0.22687E+00  0.22077E+00
  0.22975E+00  0.22653E+00  0.22041E+00
  0.23025E+00  0.22618E+00  0.22005E+00
  0.23075E+00  0.22584E+00  0.21968E+00
  0.23125E+00  0.22549E+00  0.21931E+00
  0.23175E+00  0.22513E+00  0.21894E+00
  0.23225E+00  0.22477E+00  0.21856E+00
  0.23275E+00  0.22441E+00  0.21818E+00
  0.23325E+00  0.22405E+00  0.21780E+00
  0.23375E+00  0.22368E+00  0.21741E+00
  0.23425E+00  0.22331E+00  0.21702E+00
  0.23475E+00  0.22294E+00  0.21662E+00
  0.23525E+00  0.22256E+00  0.21622E+00
  0.23575E+00  0.22218E+00  0.21582E+00
  0.23625E+00  0.22179E+00  0.21541E+00
  0.23675E+00  0.22140E+00  0.21500E+00
  0.23725E+00  0.22101E+00  0.21459E+00
  0.23775E+00  0.22061E+00  0.21417E+00
  0.23825E+00  0.22021E+00  0.21374E+00
  0.23875E+00  0.21981E+00  0.21332E+00
  0.23925E+00  0.21940E+00  0.21288E+00
  0.23975E+00  0.21899E+00  0.21245E+00
  0.24025E+00  0.21857E+00  0.21200E+00
  0.24075E+00  0.21815E+00  0.21156E+00
  0.24125E+00  0.21772E+00  0.21110E+00
  0.24175E+00  0.21729E+00  0.21065E+00
  0.24225E+00  0.21685E+00  0.21019E+00
  0.24275E+00  0.21641E+00  0.20972E+00
  0.24325E+00  0.21597E+00  0.20925E+00
  0.24375E+00  0.21552E+00  0.20877E+00
  0.24425E+00  0.21506E+00  0.20829E+00
  0.24475E+00  0.21460E+00  0.20780E+00
  0.24525E+00  0.21414E+00  0.20730E+00
  0.24575E+00  0.21367E+00  0.20680E+00
  0.24625E+00  0.21319E+00  0.20630E+00
  0.24675E+00  0.21271E+00  0.20578E+00
  0.24725E+00  0.21222E+00  0.20526E+00
  0.24775E+00  0.21172E+00  0.20474E+00
  0.24825E+00  0.21122E+00  0.20421E+00
  0.24875E+00  0.21072E+00  0.20367E+00
  0.24925E+00  0.21021E+00  0.20312E+00
  0.24975E+00  0.20969E+00  0.20257E+00
