 TITLE=RHEsVARIABLES=="X","Tem_e","Tem_r"
 ZONE I=         500
  0.15020E+01  0.54040E+00  0.54040E+00
  0.15060E+01  0.54043E+00  0.54043E+00
  0.15100E+01  0.54051E+00  0.54051E+00
  0.15140E+01  0.54064E+00  0.54064E+00
  0.15180E+01  0.54081E+00  0.54081E+00
  0.15220E+01  0.54102E+00  0.54102E+00
  0.15260E+01  0.54129E+00  0.54129E+00
  0.15300E+01  0.54159E+00  0.54159E+00
  0.15340E+01  0.54195E+00  0.54195E+00
  0.15380E+01  0.54234E+00  0.54234E+00
  0.15420E+01  0.54278E+00  0.54278E+00
  0.15460E+01  0.54327E+00  0.54327E+00
  0.15500E+01  0.54380E+00  0.54380E+00
  0.15540E+01  0.54437E+00  0.54437E+00
  0.15580E+01  0.54499E+00  0.54499E+00
  0.15620E+01  0.54565E+00  0.54565E+00
  0.15660E+01  0.54635E+00  0.54635E+00
  0.15700E+01  0.54709E+00  0.54709E+00
  0.15740E+01  0.54787E+00  0.54787E+00
  0.15780E+01  0.54870E+00  0.54870E+00
  0.15820E+01  0.54956E+00  0.54956E+00
  0.15860E+01  0.55047E+00  0.55047E+00
  0.15900E+01  0.55141E+00  0.55141E+00
  0.15940E+01  0.55240E+00  0.55240E+00
  0.15980E+01  0.55342E+00  0.55342E+00
  0.16020E+01  0.55448E+00  0.55448E+00
  0.16060E+01  0.55557E+00  0.55557E+00
  0.16100E+01  0.55670E+00  0.55670E+00
  0.16140E+01  0.55787E+00  0.55787E+00
  0.16180E+01  0.55908E+00  0.55908E+00
  0.16220E+01  0.56031E+00  0.56031E+00
  0.16260E+01  0.56158E+00  0.56158E+00
  0.16300E+01  0.56289E+00  0.56289E+00
  0.16340E+01  0.56423E+00  0.56423E+00
  0.16380E+01  0.56560E+00  0.56560E+00
  0.16420E+01  0.56700E+00  0.56700E+00
  0.16460E+01  0.56843E+00  0.56843E+00
  0.16500E+01  0.56989E+00  0.56989E+00
  0.16540E+01  0.57138E+00  0.57138E+00
  0.16580E+01  0.57290E+00  0.57290E+00
  0.16620E+01  0.57445E+00  0.57445E+00
  0.16660E+01  0.57602E+00  0.57602E+00
  0.16700E+01  0.57762E+00  0.57762E+00
  0.16740E+01  0.57925E+00  0.57925E+00
  0.16780E+01  0.58090E+00  0.58090E+00
  0.16820E+01  0.58257E+00  0.58257E+00
  0.16860E+01  0.58427E+00  0.58427E+00
  0.16900E+01  0.58599E+00  0.58599E+00
  0.16940E+01  0.58774E+00  0.58774E+00
  0.16980E+01  0.58950E+00  0.58950E+00
  0.17020E+01  0.59129E+00  0.59129E+00
  0.17060E+01  0.59310E+00  0.59310E+00
  0.17100E+01  0.59492E+00  0.59492E+00
  0.17140E+01  0.59677E+00  0.59677E+00
  0.17180E+01  0.59863E+00  0.59863E+00
  0.17220E+01  0.60051E+00  0.60051E+00
  0.17260E+01  0.60241E+00  0.60241E+00
  0.17300E+01  0.60432E+00  0.60432E+00
  0.17340E+01  0.60625E+00  0.60625E+00
  0.17380E+01  0.60819E+00  0.60819E+00
  0.17420E+01  0.61015E+00  0.61015E+00
  0.17460E+01  0.61212E+00  0.61212E+00
  0.17500E+01  0.61411E+00  0.61411E+00
  0.17540E+01  0.61611E+00  0.61611E+00
  0.17580E+01  0.61811E+00  0.61811E+00
  0.17620E+01  0.62014E+00  0.62014E+00
  0.17660E+01  0.62217E+00  0.62217E+00
  0.17700E+01  0.62421E+00  0.62421E+00
  0.17740E+01  0.62626E+00  0.62626E+00
  0.17780E+01  0.62832E+00  0.62832E+00
  0.17820E+01  0.63038E+00  0.63038E+00
  0.17860E+01  0.63246E+00  0.63246E+00
  0.17900E+01  0.63454E+00  0.63454E+00
  0.17940E+01  0.63663E+00  0.63663E+00
  0.17980E+01  0.63873E+00  0.63873E+00
  0.18020E+01  0.64083E+00  0.64083E+00
  0.18060E+01  0.64294E+00  0.64294E+00
  0.18100E+01  0.64505E+00  0.64505E+00
  0.18140E+01  0.64716E+00  0.64716E+00
  0.18180E+01  0.64928E+00  0.64928E+00
  0.18220E+01  0.65141E+00  0.65141E+00
  0.18260E+01  0.65353E+00  0.65353E+00
  0.18300E+01  0.65566E+00  0.65566E+00
  0.18340E+01  0.65779E+00  0.65779E+00
  0.18380E+01  0.65992E+00  0.65992E+00
  0.18420E+01  0.66206E+00  0.66206E+00
  0.18460E+01  0.66419E+00  0.66419E+00
  0.18500E+01  0.66632E+00  0.66632E+00
  0.18540E+01  0.66846E+00  0.66846E+00
  0.18580E+01  0.67059E+00  0.67059E+00
  0.18620E+01  0.67272E+00  0.67272E+00
  0.18660E+01  0.67486E+00  0.67486E+00
  0.18700E+01  0.67699E+00  0.67699E+00
  0.18740E+01  0.67912E+00  0.67912E+00
  0.18780E+01  0.68124E+00  0.68124E+00
  0.18820E+01  0.68337E+00  0.68337E+00
  0.18860E+01  0.68549E+00  0.68549E+00
  0.18900E+01  0.68761E+00  0.68761E+00
  0.18940E+01  0.68972E+00  0.68972E+00
  0.18980E+01  0.69183E+00  0.69183E+00
  0.19020E+01  0.69394E+00  0.69394E+00
  0.19060E+01  0.69604E+00  0.69604E+00
  0.19100E+01  0.69814E+00  0.69814E+00
  0.19140E+01  0.70023E+00  0.70023E+00
  0.19180E+01  0.70232E+00  0.70232E+00
  0.19220E+01  0.70441E+00  0.70441E+00
  0.19260E+01  0.70648E+00  0.70648E+00
  0.19300E+01  0.70856E+00  0.70856E+00
  0.19340E+01  0.71062E+00  0.71062E+00
  0.19380E+01  0.71268E+00  0.71268E+00
  0.19420E+01  0.71474E+00  0.71474E+00
  0.19460E+01  0.71678E+00  0.71678E+00
  0.19500E+01  0.71882E+00  0.71882E+00
  0.19540E+01  0.72086E+00  0.72086E+00
  0.19580E+01  0.72288E+00  0.72288E+00
  0.19620E+01  0.72490E+00  0.72490E+00
  0.19660E+01  0.72691E+00  0.72691E+00
  0.19700E+01  0.72892E+00  0.72892E+00
  0.19740E+01  0.73091E+00  0.73091E+00
  0.19780E+01  0.73290E+00  0.73290E+00
  0.19820E+01  0.73488E+00  0.73488E+00
  0.19860E+01  0.73685E+00  0.73685E+00
  0.19900E+01  0.73882E+00  0.73882E+00
  0.19940E+01  0.74077E+00  0.74077E+00
  0.19980E+01  0.74271E+00  0.74271E+00
